id,Sentence,Sentiment,Cleaned_Sentence,Sentiment_Label
1516,The use of validation rule base enables verifying that processing rule bases managed by different administrators fulfil some set requirements .,neutral,the use of validation rule base enables verifying that processing rule bases managed by different administrators fulfil some set requirements,2
1429,BHP Billiton drags FTSE lower after slashing dividend,negative,bhp billiton drags ftse lower after slashing dividend,0
4042,"According to CEO Hannu Syrj+ñnen , a new common name and visual identity is required as the group has grown and internationalised .",neutral,to hannu syrjnen a common name and visual identity is required as the has grown and internationalised,2
5459,"Vaisala also said it expects net sales of EUR 253.2 million for 2010 , compared with EUR 252.2 million recorded in 2009 .",positive,vaisala also it of 2532 for with 2522 recorded in,1
165,"The pulp production in Finnish Kemij+ñrvi will also be liquidated and about 1,100 employees loose their jobs .",negative,the pulp in kemijrvi will also be liquidated and about 1100 employees loose their jobs,0
3088,for @vnoto74 to follow:  after a SELL signal by $NDX internals [06/23] ~> technical SELL $QQQ [06/25] ~> DOWN,negative,for vnoto74 to follow after a signal by ndx internals 0623 technical qqq 0625 down,0
4800,Deutsche Bank Downgraded Starbucks Co. $SBUX https://t.co/QqlEvVwPMV https://t.co/f2PdQjuTHa,negative,deutsche downgraded starbucks co sbux httpstcoqqlevvwpmv httpstcof2pdqjutha,0
2280,"Kiosk and cinema operations have suffered , in particular .",negative,kiosk and cinema have suffered in particular,0
1734,Satama earned Data Management Solutions competency with Business Intelligence specialization recentlyvia the acquisition of Fimentor Oy .,positive,satama earned data management competency with intelligence specialization recentlyvia the acquisition of fimentor oy,1
5624,Vaisala 's net profit for the third quarter of 2007 dropped to 3.0 mln euro ( $ 4.3 mln ) from 6.8 mln euro ( $ 9.8 mln ) for the same period of 2006 .,negative,vaisala for the third of dropped to 30 43 from 68 98 for the same of,0
4015,"The company operates a U.S. division in Lisle , Ill. .",neutral,the a us division in lisle ill,2
1754,Microsoft last week also issued the first patch for the Windows 7 operating system beta it had released days earlier .,neutral,microsoft last week also issued the first patch for the windows 7 beta it had released days,2
2115,"Saudi Aramco, Shell plan to break up Motiva, divide up assets",negative,saudi aramco shell to break up motiva divide up assets,0
3840,"in Q1 '10 19 April 2010 - Finnish forest machinery and equipment maker Ponsse Oyj HEL : PON1V said today that it expects to swing to a net profit of some EUR6 .3 m in the first quarter of 2010 , from an EUR9 .6 m loss a year earlier .",positive,in q1 19 april forest machinery and equipment maker ponsse pon1v that it to swing to a of some eur6 in the first of from an eur9 6 a,1
2694,The shares subscribed will be eligible for trade on the following day from the registration .,neutral,the subscribed will be eligible for trade on the following day from the registration,2
1166,"During the strike , Finnair estimates to incur a net loss of between EUR2m and EUR2 .5 m per day .",negative,during the strike finnair to incur a of between eur2 and eur2 per day,0
4758,"In the sinter plant , limestone and coke breeze are mixed with the iron ore concentrate and sintered into lump form or sinter for use in the blast furnaces as a raw material for iron-making .",neutral,in the sinter limestone and coke breeze are mixed with the iron ore concentrate and sintered into lump form or sinter for use in the blast furnaces as a raw material for ironmaking,2
760,The company plans to spend the proceeds from the rights offering for strengthening its balance sheet .,neutral,the to spend the proceeds from the rights offering for strengthening its balance sheet,2
983,"Finnish plumbing and heating systems supplier Uponor 's net sales from continuing operations decreased by 9.4 % in 2008 to EUR 949.2 mn from EUR 1,047.4 mn in 2007 .",neutral,plumbing and heating supplier uponor from by 94 in to 9492 from 10474 in,2
697,"INTERNET BUSINESS NEWS - -® 1995-2006 M2 COMMUNICATIONS LTD As part of a drive to protect users of its Internet banking service , Barclays Bank has announced that it is to recommend F-Secure Internet Security to its customers .",neutral,internet news 19952006 m2 communications ltd as part of a drive to protect users of its internet banking barclays has announced that it is to recommend fsecure internet security to its,2
246,"RT @stockdemons think shorting here into close might be play, $SPY - high beta reversing..looks worth a shot",negative,rt stockdemons think shorting here into close might be play spy beta reversinglooks worth a shot,0
4293,"Production levels have been agreed with producers a long time ago , so a fall in consumption will lead to losses .",neutral,levels have been agreed with producers a time ago so a in consumption will lead to,2
3726,Long $ENDP @ $26.23 on $AGN b/o rumor,positive,endp 2623 on agn bo rumor,1
624,"( ADPnews ) - Dec 30 , 2009 - Finnish investment group Neomarkka Oyj ( HEL : NEMBV ) said today that it will furlough employee in its unit Reka Cables Ltd for less than 90 days , starting in January 2010 .",neutral,adpnews dec 30 neomarkka nembv that it will furlough employee in its reka cables ltd for less than 90 days in january,2
454,$GNRC finding support at its 10-day line so far.,positive,gnrc finding support at its 10day line so far,1
393,Should You Follow Berkshire Hathaway Into Apple Stock?,neutral,should you follow berkshire hathaway into apple,2
68,"Cohen & Steers , Inc. : 5 534 626 shares representing 4.985 % of the share capital and voting rights .",neutral,cohen steers inc 534 626 representing 4985 of the and voting rights,2
5421,"Tesla: Voluntary recall of 2,700 Model X vehicles, due to back seat issue. $TSLA https://t.co/NPAkc3U6GS",negative,tesla voluntary recall of 2700 model x vehicles due to back seat issue tsla httpstconpakc3u6gs,0
5646,$SPY Tomorrow party time for the Bears!! $GOOG and $MSFT -5.5%,negative,spy tomorrow party time for the bears goog and msft 55,0
990,Increased trust of our clients in YIT can be seen as apartment sales accelerated .,positive,trust of our clients in yit can be seen as apartment accelerated,1
1069,"Fastenal misses by $0.01, misses on revenue $FAST #NYSE https://t.co/63JHQ7pwMN",negative,fastenal misses by 001 misses on revenue fast nyse httpstco63jhq7pwmn,0
2075,"Demand seems to have hit bottom now , and some signs of improvement can be seen .",positive,demand seems to have hit bottom now and some signs of improvement can be seen,1
2978,"Comparable operating profit for the quarter decreased from EUR510m while sales increased from EUR860m , as compared to the third quarter 2007 .",negative,comparable for the from eur510 while from eur860 as to the third,0
1152,"On Dec. 1 , Grimaldi acquired 1.5 million shares and a 50.1-percent stake in Finnlines .",neutral,on dec grimaldi acquired 15 and a 501percent stake in finnlines,2
3644,"Mr Ashley , deputy executive chairman of Sports Direct , sold a 43pc stake in the company for more than pounds 900m at the time of the float .",neutral,mr ashley deputy executive chairman of sports direct a 43pc stake in the for more than pounds 900 at the time of the float,2
3193,"We are very excited working with Maxis on this first commercial deployment of ` Master of Maya ' , said Joe Doering , Head of the Asia South region at Nokia Siemens Networks .",positive,we are very excited working with maxis on this first commercial deployment of master of maya joe doering head of the asia south region at siemens networks,1
1149,$IWM same conditions that sent markets to tumble all hitting this week,negative,iwm same conditions that sent to tumble all hitting this week,0
4764,"Commission income decreased to EUR 3.8 mn , compared to EUR 4.6 mn in the third quarter of 2007 .",negative,commission income to 38 to 46 in the third of,0
4142,"At the close , the OMX Helsinki 25 was 0.01 pct lower at 3,067.64 points and the OMX Helsinki was down 0.05 pct at 10,321.46 points on over 1.343 bln eur of turnover .",negative,at the close the 25 was 001 at 306764 points and the was down 005 at 1032146 points on over 1343 bln of turnover,0
3329,"Ahlstrom Corporation STOCK EXCHANGE ANNOUNCEMENT 23.4.2007 Ahlstrom Corporation will publish its first quarter financial results 2007 on Friday , April 27 , 2007 approximately at 8.30 a.m. Finnish time .",neutral,ahlstrom exchange announcement 2342007 ahlstrom will publish its first on friday april 27 approximately at 830 am time,2
5059,Revenue in the quarter fell 8 percent to ( EURO ) 2.4 billion compared to a year earlier .,negative,revenue in the 8 to 24 to a,0
595,"AUSTIN , Texas , Sept. 6 -- Texas Department Of Transportation awards contract for Teleste Video Compression and Distribution Equipment .",positive,austin texas sept 6 texas department of transportation awards for teleste video compression and distribution equipment,1
2349,2 Turnaround Buys For 2016? BHP Billiton plc And Home Retail Group Plc,positive,2 turnaround for 2016 bhp billiton and home retail,1
